batting_team,over,weight
Mumbai Indians,5,1.067905918057663
Mumbai Indians,6,0.8146813353566009
Mumbai Indians,7,0.8758535660091048
Mumbai Indians,8,0.9645295902883156
Mumbai Indians,9,0.9085735963581183
Mumbai Indians,10,0.9166350531107739
Mumbai Indians,11,0.9887139605462822
Mumbai Indians,12,1.0124241274658574
Mumbai Indians,13,1.025227617602428
Mumbai Indians,14,1.058421851289833
Mumbai Indians,15,1.0863998482549317
Mumbai Indians,16,1.1210166919575113
Mumbai Indians,17,1.1693854324734445
Mumbai Indians,18,1.1442526555386952
Mumbai Indians,19,1.1167488619119879
Pune Warriors,0,0.8304498269896193
Pune Warriors,1,0.946838628499528
Pune Warriors,2,1.1229946524064172
Pune Warriors,3,1.0349166404529726
Pune Warriors,4,0.994023277760302
Pune Warriors,5,1.031770997168921
Pune Warriors,6,0.7738282478766907
Pune Warriors,7,0.9971689210443535
Pune Warriors,8,0.9311104120792701
Pune Warriors,9,0.8965083359547027
Pune Warriors,10,1.0034602076124568
Pune Warriors,11,1.0191884240327147
Pune Warriors,12,0.9625668449197861
Pune Warriors,13,0.9782950613400441
Pune Warriors,14,1.025479710600818
Pune Warriors,15,1.1733249449512426
Pune Warriors,16,1.0160427807486632
Pune Warriors,17,1.0946838628499527
Pune Warriors,18,1.1041207927021075
Pune Warriors,19,1.0632274300094369
Punjab Kings,0,0.7808080808080808
Punjab Kings,1,0.9151515151515153
Punjab Kings,2,1.0323232323232323
Punjab Kings,3,1.0727272727272728
Punjab Kings,4,1.073232323232323
Punjab Kings,5,1.082828282828283
Punjab Kings,6,0.8742424242424242
Punjab Kings,7,0.95
Punjab Kings,8,0.9712121212121212
Punjab Kings,9,0.9409090909090909
Punjab Kings,10,0.9838383838383837
Punjab Kings,11,0.9904040404040404
Punjab Kings,12,0.9833333333333333
Punjab Kings,13,1.0156565656565657
Punjab Kings,14,1.042929292929293
Punjab Kings,15,1.1116161616161615
Punjab Kings,16,1.0424242424242425
Punjab Kings,17,1.0787878787878789
Punjab Kings,18,1.054040404040404
Punjab Kings,19,1.0035353535353535
