match_id,batter,runs,out,cum_runs,cum_outs,pavg,lfm,venue,savg
1359533,Sikandar Raza,11,0,128.0,5.0,25.6,22.4,Arun Jaitley Stadium,0.0
1422135,Sikandar Raza,15,1,139.0,5.0,27.8,24.4,Narendra Modi Stadium,0.0
1426261,Sikandar Raza,28,1,154.0,6.0,25.666666666666668,26.4,Other,29.0
1304095,Simarjeet Singh,2,0,,,0.0,0.0,Maharashtra Cricket Association Stadium,0.0
1304105,Simarjeet Singh,2,1,2.0,0.0,0.0,2.0,Wankhede Stadium,0.0
1304114,Simarjeet Singh,3,0,4.0,1.0,4.0,2.0,Brabourne Stadium,0.0
336000,Sohail Tanvir,3,0,,,0.0,0.0,Sawai Mansingh Stadium,0.0
336008,Sohail Tanvir,6,1,3.0,0.0,0.0,3.0,Dr DY Patil Sports Academy,0.0
336027,Sohail Tanvir,13,1,9.0,1.0,9.0,4.5,Eden Gardens,0.0
336038,Sohail Tanvir,5,1,22.0,2.0,11.0,7.333333333333333,Wankhede Stadium,0.0
336040,Sohail Tanvir,9,0,27.0,3.0,9.0,6.75,Dr DY Patil Sports Academy,6.0
1422120,Sumit Kumar,2,1,,,0.0,0.0,Other,0.0
1422134,Sumit Kumar,7,1,2.0,1.0,2.0,2.0,Other,2.0
1426270,Sumit Kumar,9,0,9.0,2.0,4.5,4.5,Narendra Modi Stadium,0.0
548380,Sunny Gupta,0,1,,,0.0,0.0,MA Chidambaram Stadium,0.0
501202,Sunny Singh,12,1,,,0.0,0.0,Dr DY Patil Sports Academy,0.0
501206,Sunny Singh,20,1,12.0,1.0,12.0,12.0,Punjab Cricket Association IS Bindra Stadium,0.0
501220,Sunny Singh,5,0,32.0,2.0,16.0,16.0,Punjab Cricket Association IS Bindra Stadium,20.0
501223,Sunny Singh,2,1,37.0,2.0,18.5,12.333333333333334,Arun Jaitley Stadium,0.0
501244,Sunny Singh,4,1,39.0,3.0,13.0,9.75,M Chinnaswamy Stadium,0.0
980963,Swapnil Singh,0,1,,,0.0,0.0,Eden Gardens,0.0
1082639,Swapnil Singh,2,1,0.0,1.0,0.0,0.0,Punjab Cricket Association IS Bindra Stadium,0.0
1082645,Swapnil Singh,10,1,2.0,2.0,1.0,1.0,Maharashtra Cricket Association Stadium,0.0
1359525,Swapnil Singh,2,0,12.0,3.0,4.0,4.0,Narendra Modi Stadium,0.0
1426279,Swapnil Singh,12,1,14.0,3.0,4.666666666666667,3.5,Rajiv Gandhi International Stadium,0.0
1426290,Swapnil Singh,15,0,26.0,4.0,6.5,5.2,M Chinnaswamy Stadium,0.0
1426296,Swapnil Singh,1,0,41.0,4.0,10.25,8.2,Other,0.0
1426300,Swapnil Singh,0,1,42.0,4.0,10.5,8.0,M Chinnaswamy Stadium,15.0
1426310,Swapnil Singh,9,0,42.0,5.0,8.4,6.0,Narendra Modi Stadium,2.0
1216494,T Banton,10,1,,,0.0,0.0,UAE,0.0
1216540,T Banton,8,1,10.0,1.0,10.0,10.0,UAE,10.0
392182,T Henderson,11,1,,,0.0,0.0,Other,0.0
392233,T Henderson,0,0,11.0,1.0,11.0,11.0,Other,11.0
1426303,T Kohler-Cadmore,18,1,,,0.0,0.0,Other,0.0
1426310,T Kohler-Cadmore,20,1,18.0,1.0,18.0,18.0,Narendra Modi Stadium,0.0
1426311,T Kohler-Cadmore,10,1,38.0,2.0,19.0,19.0,MA Chidambaram Stadium,0.0
335984,T Kohli,7,1,,,0.0,0.0,Arun Jaitley Stadium,0.0
336033,T Kohli,3,1,7.0,1.0,7.0,7.0,MA Chidambaram Stadium,0.0
392186,T Kohli,1,1,10.0,2.0,5.0,5.0,Other,0.0
1216528,T Natarajan,0,0,,,0.0,0.0,UAE,0.0
1216534,T Natarajan,3,0,0.0,0.0,0.0,0.0,UAE,0.0
1254097,T Shamsi,2,0,,,0.0,0.0,Other,0.0
1304105,T Stubbs,0,1,,,0.0,0.0,Wankhede Stadium,0.0
1304111,T Stubbs,2,0,0.0,1.0,0.0,0.0,Wankhede Stadium,0.0
1359486,T Stubbs,5,1,2.0,1.0,2.0,1.0,Wankhede Stadium,1.0
1359523,T Stubbs,20,1,7.0,2.0,3.5,2.3333333333333335,MA Chidambaram Stadium,0.0
1422120,T Stubbs,5,1,27.0,3.0,9.0,6.75,Other,0.0
1422127,T Stubbs,44,0,32.0,4.0,8.0,6.4,Sawai Mansingh Stadium,0.0
1422131,T Stubbs,0,1,76.0,4.0,19.0,15.2,Other,5.0
1422134,T Stubbs,54,1,76.0,5.0,15.2,14.8,Other,2.5
1422138,T Stubbs,71,0,130.0,6.0,21.666666666666668,24.6,Wankhede Stadium,2.3333333333333335
1426264,T Stubbs,15,0,201.0,6.0,33.5,34.8,Other,19.666666666666668
1426273,T Stubbs,10,1,216.0,6.0,36.0,36.8,Arun Jaitley Stadium,0.0
1426278,T Stubbs,26,0,226.0,7.0,32.285714285714285,30.0,Arun Jaitley Stadium,10.0
1426281,T Stubbs,48,0,252.0,7.0,36.0,35.2,Arun Jaitley Stadium,18.0
1426285,T Stubbs,4,1,300.0,7.0,42.857142857142854,34.0,Eden Gardens,0.0
1426294,T Stubbs,41,1,304.0,8.0,38.0,20.6,Arun Jaitley Stadium,28.0
1426300,T Stubbs,3,0,345.0,9.0,38.333333333333336,25.8,M Chinnaswamy Stadium,0.0
1426302,T Stubbs,57,0,348.0,9.0,38.666666666666664,24.4,Arun Jaitley Stadium,31.25
336010,T Taibu,15,1,,,0.0,0.0,Eden Gardens,0.0
336014,T Taibu,9,1,15.0,1.0,15.0,15.0,Rajiv Gandhi International Stadium,0.0
336017,T Taibu,7,1,24.0,2.0,12.0,12.0,Eden Gardens,15.0
392181,T Thushara,1,0,,,0.0,0.0,Other,0.0
392234,T Thushara,1,1,1.0,0.0,0.0,1.0,Other,1.0
419129,T Thushara,2,0,2.0,1.0,2.0,1.0,Other,1.0
419147,T Thushara,8,1,4.0,1.0,4.0,1.3333333333333333,Other,1.3333333333333333
1082644,TA Boult,5,0,,,0.0,0.0,Eden Gardens,0.0
1136573,TA Boult,0,1,5.0,0.0,0.0,5.0,Eden Gardens,5.0
1178425,TA Boult,1,0,5.0,1.0,5.0,2.5,MA Chidambaram Stadium,0.0
1181767,TA Boult,6,1,6.0,1.0,6.0,2.0,Other,0.0
1216492,TA Boult,0,1,12.0,2.0,6.0,3.0,UAE,0.0
1254070,TA Boult,1,0,12.0,3.0,4.0,2.4,MA Chidambaram Stadium,1.0
